clipno_overall,run,clipno_in_run,clip_name,start_tr,stop_tr
1,MOVIE1_7T_AP,1,twomen,264,283
2,MOVIE1_7T_AP,2,bridgeville,506,525
3,MOVIE1_7T_AP,3,pockets,714,733
4,MOVIE1_7T_AP,4,overcome,798,817
5,MOVIE1_7T_AP,5,testretest1,901,920
6,MOVIE2_7T_PA,1,inception,247,266
7,MOVIE2_7T_PA,2,socialnet,526,545
8,MOVIE2_7T_PA,3,oceans,795,814
9,MOVIE2_7T_PA,4,testretest2,898,917
10,MOVIE3_7T_PA,1,flower,201,220
11,MOVIE3_7T_PA,2,hotel,406,425
12,MOVIE3_7T_PA,3,garden,630,649
13,MOVIE3_7T_PA,4,dreary,792,811
14,MOVIE3_7T_PA,5,testretest3,895,914
15,MOVIE4_7T_AP,1,homealone,253,272
16,MOVIE4_7T_AP,2,brokovich,503,522
17,MOVIE4_7T_AP,3,starwars,778,797
18,MOVIE4_7T_AP,4,testretest4,881,900
